Gender,Age,Ever_Married,Family_Size,Profession,Graduated,Work_Experience,Energy_Consumption,Preferred_Renewable,Group
Female,18,No,3.0,Healthcare,No,0.0,Low,Hydro,D
Female,57,Yes,2.0,Artist,Yes,0.0,High,Wind,C
Female,18,No,4.0,Entertainment,No,0.0,Low,Solar,D
Female,71,Yes,2.0,Artist,Yes,1.0,High,Solar,C
Female,69,Yes,2.0,Artist,Yes,0.0,Average,Solar,C
Female,42,No,4.0,Healthcare,Yes,0.0,Low,Solar,A
Female,36,No,2.0,Artist,Yes,0.0,Low,Solar,B
Female,80,Yes,2.0,Lawyer,Yes,1.0,High,Solar,B
Male,69,Yes,1.0,Entertainment,No,,Low,Solar,A
Female,67,Yes,3.0,Artist,Yes,0.0,Average,Solar,C
Female,47,Yes,4.0,Doctor,Yes,1.0,Average,Solar,C
Female,49,Yes,2.0,Artist,Yes,0.0,Average,Solar,C
Female,32,Yes,4.0,Engineer,No,9.0,Low,Solar,D
Female,65,Yes,4.0,Lawyer,Yes,1.0,Average,Solar,C
Female,78,Yes,2.0,Lawyer,No,0.0,High,Solar,A
Male,33,No,6.0,Artist,Yes,1.0,Low,Solar,D
Male,48,Yes,1.0,Artist,Yes,1.0,Low,Solar,A
Male,58,Yes,5.0,Executive,Yes,1.0,Average,Solar,C
Female,83,Yes,,Lawyer,Yes,1.0,High,Solar,A
Female,30,No,4.0,Healthcare,No,9.0,Low,Solar,D
Female,35,No,2.0,Artist,Yes,0.0,Low,Solar,B
Male,32,No,5.0,Healthcare,Yes,6.0,Low,Solar,D
Male,69,Yes,2.0,Homemaker,Yes,1.0,High,Solar,C
Female,71,Yes,2.0,Lawyer,Yes,1.0,High,Solar,C
Male,43,No,1.0,Lawyer,Yes,0.0,Low,Hydro,A
Male,37,Yes,2.0,Artist,Yes,0.0,Low,Solar,C
Male,42,No,1.0,Doctor,Yes,0.0,Low,Solar,A
Female,70,Yes,2.0,Doctor,Yes,1.0,Average,Solar,C
Male,46,No,2.0,Artist,Yes,0.0,Low,Solar,A
Male,21,No,,Healthcare,No,,Low,Tidal,D
Male,70,Yes,2.0,Artist,Yes,0.0,Average,Solar,C
Female,61,Yes,,Artist,Yes,1.0,Low,Solar,C
Male,60,Yes,1.0,Entertainment,Yes,1.0,Low,Solar,A
Male,37,No,2.0,Entertainment,Yes,0.0,Low,Biomass,A
Male,30,Yes,2.0,Healthcare,Yes,1.0,Low,Solar,D
Female,32,No,3.0,Engineer,Yes,1.0,Low,Solar,D
Male,26,Yes,3.0,Executive,Yes,0.0,Low,Solar,D
Male,42,No,1.0,Marketing,Yes,0.0,Low,Solar,A
Female,18,No,,Doctor,No,,Low,Solar,D
Male,80,Yes,,Executive,No,,Low,Solar,B
Male,29,Yes,2.0,Healthcare,Yes,8.0,High,Solar,D
Female,88,Yes,2.0,Artist,Yes,1.0,High,Solar,A
Male,70,Yes,1.0,Lawyer,Yes,1.0,Low,Solar,A
Female,50,Yes,4.0,Artist,Yes,1.0,High,Solar,C
Male,43,Yes,4.0,Doctor,Yes,4.0,Average,Wind,C
Male,51,Yes,2.0,Artist,Yes,6.0,Average,Solar,C
Female,50,Yes,3.0,Artist,Yes,,High,Solar,C
Female,74,Yes,1.0,Homemaker,No,,Low,Solar,B
Female,29,No,3.0,Healthcare,Yes,,Low,Solar,D
Female,32,No,2.0,Engineer,Yes,,Low,Solar,D
Male,60,Yes,2.0,Executive,No,0.0,Low,Solar,B
Male,46,No,1.0,Artist,Yes,2.0,Low,Solar,B
Female,81,Yes,2.0,Marketing,Yes,0.0,Low,Solar,A
Male,41,Yes,7.0,Engineer,No,,Average,Hydro,B
Male,22,Yes,4.0,Executive,No,0.0,High,Solar,D
Male,37,Yes,3.0,Artist,Yes,0.0,Average,Solar,C
Male,43,Yes,1.0,Engineer,No,0.0,Low,Solar,B
Male,50,Yes,3.0,Artist,Yes,1.0,Average,Solar,C
Female,35,Yes,2.0,Artist,Yes,1.0,Average,Not Interested,C
Male,65,Yes,2.0,Lawyer,No,1.0,High,Solar,A
Female,41,No,4.0,Engineer,Yes,0.0,Low,Solar,A
Male,28,No,2.0,Entertainment,No,8.0,Low,Solar,D
Male,55,Yes,2.0,Artist,Yes,4.0,Average,Solar,C
Female,58,Yes,2.0,Lawyer,No,,High,Solar,C
Male,28,No,3.0,Healthcare,No,1.0,Low,,D
Male,48,Yes,4.0,Artist,Yes,,Average,Not Interested,C
Female,78,Yes,2.0,Doctor,No,1.0,High,Solar,A
Female,35,No,3.0,Doctor,Yes,1.0,Low,Solar,A
Female,76,Yes,2.0,Lawyer,Yes,0.0,High,Solar,A
Female,88,Yes,2.0,Lawyer,Yes,1.0,High,Solar,C
Male,61,Yes,3.0,,Yes,1.0,Average,Solar,C
Female,79,Yes,2.0,Artist,Yes,,High,Solar,B
Male,30,No,4.0,Doctor,No,0.0,Low,Solar,D
Male,69,Yes,2.0,Executive,No,0.0,High,Solar,C
Male,65,Yes,2.0,Doctor,Yes,1.0,Average,Solar,C
Female,70,Yes,2.0,Lawyer,Yes,1.0,Low,Solar,B
Male,32,Yes,4.0,Healthcare,No,0.0,Average,Solar,D
Male,46,Yes,4.0,Entertainment,Yes,,Low,Solar,C
Male,21,No,5.0,Healthcare,No,8.0,Low,Solar,D
Male,47,Yes,3.0,Doctor,Yes,,Low,Solar,C
Female,39,No,2.0,Marketing,No,0.0,Low,Hydro,A
Male,85,Yes,3.0,Lawyer,Yes,0.0,Low,Solar,A
Female,66,No,2.0,Artist,Yes,0.0,Low,Solar,C
Female,50,Yes,2.0,Artist,Yes,1.0,Average,Solar,C
Female,42,Yes,3.0,Artist,Yes,0.0,Average,Solar,C
Male,53,Yes,1.0,Artist,Yes,9.0,Low,Solar,C
Male,37,Yes,2.0,Artist,Yes,,Low,Solar,C
Female,45,Yes,2.0,Artist,Yes,1.0,Low,Solar,C
Female,66,No,1.0,Lawyer,No,,Low,Solar,A
Male,33,No,,Marketing,No,,Low,Solar,D
Male,40,Yes,1.0,Artist,Yes,4.0,Low,Solar,A
Female,35,Yes,1.0,Artist,Yes,1.0,Low,Tidal,B
Male,27,No,2.0,Artist,Yes,,Low,Solar,D
Female,48,Yes,3.0,Artist,Yes,0.0,Average,Hydro,C
Female,56,Yes,2.0,Artist,Yes,0.0,Average,Solar,C
Male,25,Yes,6.0,Healthcare,Yes,,Low,Solar,D
Female,30,No,8.0,Artist,No,,Low,Solar,D
Female,46,Yes,3.0,Entertainment,Yes,7.0,Low,Solar,C
Male,49,Yes,2.0,Lawyer,No,0.0,Low,Solar,A
Male,72,Yes,4.0,Marketing,No,1.0,Low,Solar,A
Female,79,Yes,2.0,Lawyer,Yes,,High,Solar,C
Female,35,No,3.0,Artist,Yes,,Low,Solar,B
Female,77,Yes,1.0,Lawyer,Yes,0.0,Low,Solar,A
Female,79,Yes,2.0,Lawyer,No,,High,Solar,A
Male,42,Yes,4.0,Healthcare,Yes,6.0,High,Solar,C
Female,42,No,1.0,Engineer,Yes,,Low,Solar,A
Male,67,Yes,2.0,Lawyer,No,,High,Tidal,B
Male,26,No,1.0,Healthcare,Yes,1.0,Low,Solar,D
Male,67,Yes,2.0,Lawyer,Yes,1.0,High,Solar,B
Male,55,Yes,1.0,Engineer,Yes,1.0,Low,Solar,B
Female,56,,2.0,Artist,Yes,,Average,Solar,C
Male,63,Yes,4.0,,,,Average,Solar,C
Male,46,Yes,2.0,Artist,Yes,8.0,Average,Solar,C
Male,32,Yes,2.0,Healthcare,Yes,7.0,Low,Solar,D
Female,49,No,1.0,Homemaker,Yes,13.0,Low,Solar,A
Male,59,Yes,2.0,Artist,Yes,1.0,High,Solar,C
Male,22,No,5.0,Healthcare,No,8.0,Low,Hydro,D
Female,28,No,1.0,Artist,Yes,8.0,Low,Solar,D
Male,28,No,3.0,Entertainment,Yes,1.0,Low,Solar,D
Male,75,Yes,1.0,Lawyer,Yes,2.0,Low,Solar,A
Female,37,Yes,2.0,Artist,Yes,13.0,Low,Solar,A
Male,50,Yes,2.0,Doctor,Yes,0.0,Average,Solar,C
Female,50,Yes,4.0,Executive,Yes,1.0,High,Solar,C
Female,88,Yes,,Lawyer,No,,Low,,A
Female,35,Yes,5.0,Artist,Yes,3.0,Average,Hydro,C
Female,35,No,,,No,,Low,Not Interested,B
Male,31,Yes,3.0,Entertainment,No,,Average,Solar,D
Male,46,Yes,1.0,Artist,Yes,0.0,Low,Solar,B
Female,50,Yes,4.0,Artist,Yes,1.0,Average,Solar,C
Female,33,No,3.0,Artist,Yes,7.0,Low,Solar,D
Male,49,Yes,1.0,Artist,Yes,0.0,Low,Solar,A
Male,52,Yes,3.0,Artist,Yes,1.0,Average,Solar,C
Male,25,No,3.0,Healthcare,No,0.0,Low,Solar,D
Female,41,Yes,1.0,Artist,Yes,6.0,Low,Solar,A
Female,68,Yes,2.0,Artist,Yes,0.0,High,Solar,C
Female,79,Yes,2.0,Lawyer,No,2.0,High,Solar,A
Male,40,Yes,5.0,Entertainment,Yes,5.0,Average,Solar,B
Female,62,No,1.0,Doctor,Yes,,Low,Solar,B
Male,21,No,2.0,Healthcare,No,,Low,Solar,D
Female,20,No,4.0,Healthcare,No,,Low,Tidal,D
Male,28,No,5.0,Entertainment,Yes,1.0,Low,Solar,D
Male,57,Yes,2.0,Doctor,Yes,0.0,Average,Hydro,C
Female,25,No,,Healthcare,No,8.0,Low,,D
Female,63,Yes,1.0,Engineer,No,8.0,Low,Solar,C
Female,26,Yes,3.0,Entertainment,No,1.0,Low,Solar,D
Female,50,Yes,3.0,Marketing,No,0.0,High,Hydro,B
Female,30,No,4.0,Marketing,No,9.0,Low,Biomass,D
Female,26,No,4.0,Engineer,No,,Low,Hydro,D
Male,61,Yes,3.0,Artist,Yes,1.0,Average,Solar,C
Male,42,No,1.0,Artist,Yes,3.0,Low,Solar,A
Male,88,Yes,2.0,Artist,Yes,4.0,Low,Solar,A
Male,45,Yes,3.0,Artist,No,3.0,Average,Solar,C
Female,86,Yes,1.0,Lawyer,Yes,1.0,Low,Solar,A
Male,18,No,5.0,Healthcare,No,1.0,Low,Solar,D
Male,37,No,1.0,Entertainment,Yes,,Low,Solar,A
Male,46,Yes,1.0,Artist,Yes,1.0,Low,Solar,B
Male,58,Yes,2.0,Artist,No,,Average,Solar,C
Female,72,Yes,2.0,Lawyer,Yes,8.0,High,Solar,C
Female,50,Yes,3.0,Artist,Yes,0.0,High,,C
Female,56,,3.0,Engineer,Yes,8.0,Average,Solar,C
Male,46,No,3.0,Artist,No,3.0,Low,Geothermal,B
Male,57,Yes,1.0,Artist,Yes,,Low,Solar,B
Male,42,Yes,6.0,Executive,No,9.0,High,Solar,C
Male,20,No,4.0,Healthcare,No,,Low,Solar,D
Male,19,No,3.0,Healthcare,No,,Low,Solar,D
Male,19,No,4.0,Healthcare,No,4.0,Low,Solar,D
Male,68,Yes,1.0,Executive,Yes,1.0,Low,Solar,B
Female,40,Yes,2.0,Artist,Yes,0.0,Low,Solar,B
Male,82,Yes,2.0,Lawyer,No,,High,Solar,B
Female,23,No,3.0,Healthcare,No,1.0,Low,Solar,D
Female,84,Yes,2.0,Lawyer,No,1.0,High,Solar,A
Male,51,Yes,4.0,Artist,No,0.0,Low,Tidal,C
Male,59,,2.0,Artist,Yes,1.0,Average,Solar,C
Female,41,Yes,5.0,Artist,Yes,1.0,Average,Solar,B
Male,51,Yes,2.0,Executive,No,1.0,High,Solar,C
Female,62,Yes,3.0,Artist,No,,Average,Solar,C
Female,62,Yes,4.0,Lawyer,No,1.0,High,Hydro,C
Female,38,Yes,1.0,Artist,Yes,8.0,Low,Solar,B
Male,18,No,4.0,Artist,No,,Low,Hydro,D
Male,22,No,4.0,Healthcare,No,3.0,Low,Solar,D
Female,30,,3.0,Doctor,Yes,0.0,Low,Wind,A
Female,62,Yes,1.0,Entertainment,Yes,1.0,Low,Solar,B
Female,43,No,3.0,Entertainment,No,1.0,Low,Solar,A
Female,32,No,1.0,Engineer,Yes,,Low,Wind,D
Male,37,Yes,,Artist,Yes,1.0,High,Solar,C
Male,48,No,1.0,Artist,Yes,1.0,Low,Solar,B
Female,31,No,2.0,Engineer,Yes,4.0,Low,Solar,D
Male,46,Yes,4.0,Artist,No,4.0,High,Solar,B
Female,49,Yes,4.0,Engineer,No,1.0,Average,Solar,C
Male,43,Yes,4.0,Doctor,No,,Average,Solar,B
Male,42,No,1.0,Artist,Yes,8.0,Low,Solar,A
Male,37,Yes,2.0,Doctor,Yes,,Low,Solar,C
Male,72,Yes,2.0,Entertainment,Yes,,High,Solar,C
Male,71,,1.0,Executive,No,,High,,A
Female,39,No,1.0,Engineer,Yes,1.0,Low,Hydro,A
Male,20,No,5.0,Healthcare,No,0.0,Low,Biomass,D
Female,26,No,1.0,,No,,Low,Not Interested,D
Male,72,Yes,1.0,Executive,Yes,1.0,Low,Solar,B
Male,70,Yes,1.0,Healthcare,Yes,0.0,Low,Hydro,A
Male,45,No,1.0,Artist,Yes,2.0,Low,Solar,B
Male,33,No,5.0,Executive,No,7.0,Low,Solar,D
Male,50,Yes,3.0,Entertainment,No,0.0,Average,Solar,C
Male,31,No,1.0,Entertainment,Yes,6.0,Low,Solar,A
Female,74,Yes,2.0,Lawyer,No,1.0,High,Solar,B
Female,68,Yes,2.0,Artist,No,,High,Solar,C
Female,49,No,1.0,Artist,Yes,,Low,Solar,B
Male,49,Yes,2.0,Marketing,Yes,0.0,High,Solar,C
Female,18,No,3.0,Healthcare,No,1.0,Low,Solar,D
Female,85,Yes,2.0,Entertainment,No,2.0,Average,Solar,A
Female,38,No,4.0,Entertainment,Yes,,Low,Solar,A
Male,28,Yes,4.0,Artist,No,0.0,Low,Solar,D
Male,46,Yes,2.0,Artist,No,3.0,Average,,B
Male,59,Yes,3.0,Homemaker,Yes,9.0,Average,Solar,C
Female,56,Yes,2.0,Artist,Yes,0.0,Low,Solar,C
Male,69,Yes,1.0,Artist,Yes,0.0,Low,Solar,B
Male,66,Yes,2.0,Artist,Yes,0.0,Low,Solar,B
Male,18,No,6.0,Healthcare,No,4.0,Low,Biomass,D
Male,36,No,1.0,Artist,Yes,4.0,Low,Hydro,B
Male,31,No,2.0,Marketing,Yes,1.0,Low,Wind,D
Male,67,Yes,2.0,Executive,No,1.0,High,Hydro,B
Female,39,No,1.0,Artist,Yes,7.0,Low,Solar,B
Male,42,No,3.0,Entertainment,Yes,4.0,Low,Solar,A
Male,50,Yes,2.0,Artist,Yes,0.0,Low,Solar,C
Female,37,Yes,2.0,Artist,Yes,0.0,Average,Solar,C
Female,59,No,1.0,Artist,Yes,0.0,Low,Solar,C
Male,50,Yes,2.0,Artist,Yes,8.0,Low,Solar,C
Male,48,Yes,3.0,Artist,Yes,8.0,Low,Biomass,C
Male,55,Yes,1.0,Artist,Yes,9.0,Low,Solar,C
Female,33,No,3.0,Doctor,Yes,1.0,Low,Solar,D
Male,38,No,1.0,Artist,Yes,13.0,Low,Not Interested,A
Male,43,No,2.0,Artist,Yes,0.0,Low,Solar,A
Female,53,No,2.0,Artist,Yes,0.0,Low,Solar,B
Male,37,No,1.0,Entertainment,Yes,0.0,Low,Solar,A
Female,36,No,1.0,Artist,Yes,5.0,Low,Solar,B
Male,36,No,1.0,Artist,Yes,5.0,Low,Solar,B
Male,62,Yes,1.0,Artist,Yes,1.0,Low,Solar,B
Female,38,No,2.0,Artist,No,2.0,Low,Solar,A
Male,55,No,1.0,Entertainment,Yes,1.0,Low,Solar,A
Male,60,Yes,2.0,Entertainment,No,1.0,Average,Solar,C
Female,36,Yes,2.0,Entertainment,Yes,7.0,Average,Geothermal,B
Male,30,No,9.0,Entertainment,No,5.0,Low,Wind,D
Female,66,No,3.0,Entertainment,No,4.0,Low,Solar,C
Male,45,Yes,1.0,Entertainment,Yes,1.0,Low,Solar,A
Female,40,No,,Entertainment,Yes,6.0,Low,Solar,A
Female,45,,3.0,Entertainment,Yes,5.0,Low,Solar,C
Male,41,Yes,1.0,,Yes,2.0,Low,Solar,A
Female,62,Yes,1.0,Homemaker,Yes,4.0,Low,Geothermal,B
Male,61,Yes,2.0,Artist,Yes,1.0,Low,Solar,C
Female,50,Yes,2.0,Artist,Yes,4.0,Low,Solar,C
Male,53,Yes,2.0,Entertainment,Yes,3.0,Low,Solar,A
Male,39,No,1.0,Artist,Yes,7.0,Low,Solar,A
Female,86,No,1.0,Lawyer,Yes,0.0,Low,Wind,A
Male,50,Yes,1.0,Artist,Yes,1.0,Low,Hydro,A
Female,46,No,,Entertainment,No,4.0,Low,Hydro,B
Male,52,No,1.0,Marketing,Yes,0.0,Low,Wind,A
Female,45,No,1.0,Marketing,No,0.0,Low,Solar,A
Female,37,No,1.0,Artist,Yes,9.0,Low,Solar,A
Female,36,Yes,1.0,Engineer,Yes,3.0,Low,Solar,C
Female,25,No,1.0,Artist,Yes,,Low,Solar,D
Female,40,No,1.0,Doctor,No,1.0,Low,Solar,A
Male,41,Yes,2.0,Artist,Yes,11.0,High,Solar,B
Female,25,Yes,2.0,Homemaker,Yes,,High,Solar,D
Male,80,Yes,2.0,Lawyer,No,4.0,Average,Solar,A
Female,46,No,1.0,Artist,Yes,3.0,Low,Wind,B
Female,81,Yes,1.0,Lawyer,Yes,1.0,Low,Solar,A
Male,40,,2.0,Artist,Yes,0.0,Low,Wind,B
Male,49,No,1.0,,Yes,1.0,Low,Wind,B
Female,26,No,3.0,Healthcare,Yes,8.0,Low,Wind,D
Male,26,No,1.0,Artist,Yes,1.0,Low,Hydro,D
Female,47,No,1.0,Artist,Yes,0.0,Low,Hydro,B
Female,71,Yes,,Entertainment,Yes,0.0,Low,Solar,C
Male,48,Yes,5.0,Engineer,Yes,1.0,Average,Solar,C
Male,39,Yes,3.0,Artist,Yes,1.0,Average,Biomass,C
Male,50,Yes,2.0,Artist,Yes,8.0,Average,Solar,C
Female,46,No,2.0,Artist,Yes,1.0,Low,,B
Male,26,Yes,2.0,Engineer,Yes,8.0,Average,Wind,D
Female,42,Yes,2.0,,Yes,1.0,Low,Solar,C
Female,36,Yes,2.0,Artist,Yes,4.0,Low,Solar,B
Male,29,No,4.0,Healthcare,Yes,1.0,Low,Solar,D
Female,39,No,1.0,Artist,No,1.0,Low,Solar,A
Female,41,No,3.0,Artist,Yes,0.0,Low,Solar,A
Female,48,Yes,,Marketing,Yes,8.0,Low,Solar,C
Male,40,Yes,3.0,Entertainment,Yes,9.0,High,Solar,C
Female,25,No,3.0,Healthcare,Yes,4.0,Low,Solar,D
Female,41,Yes,2.0,Artist,Yes,7.0,Low,Solar,C
Male,37,No,1.0,Artist,Yes,11.0,Low,Solar,A
Female,53,No,,Doctor,Yes,0.0,Low,Wind,A
Female,51,Yes,3.0,Engineer,Yes,0.0,Average,Wind,C
Male,73,Yes,3.0,Entertainment,Yes,1.0,Average,Solar,C
Male,61,Yes,5.0,,No,1.0,Low,Hydro,C
Male,39,No,1.0,Entertainment,Yes,5.0,Low,Wind,A
Female,19,No,4.0,Healthcare,No,0.0,Low,Biomass,D
Female,19,No,7.0,Healthcare,No,0.0,Low,Biomass,D
Female,23,No,5.0,Entertainment,No,1.0,Low,Biomass,D
Male,83,Yes,2.0,Executive,Yes,0.0,High,Biomass,B
Female,62,Yes,2.0,Artist,Yes,1.0,High,Solar,C
Female,43,No,4.0,Artist,Yes,9.0,Low,Solar,A
Female,27,No,5.0,Artist,No,0.0,Low,Biomass,A
Male,50,No,1.0,Artist,Yes,0.0,Low,Solar,B
Female,23,No,6.0,Entertainment,No,0.0,Low,Biomass,D
Male,35,No,2.0,Entertainment,No,9.0,Low,Solar,A
Male,32,No,3.0,Healthcare,No,9.0,Low,Solar,D
Female,42,No,3.0,Doctor,Yes,2.0,Low,Solar,A
Male,33,No,1.0,Entertainment,No,13.0,Low,Solar,D
Female,28,No,3.0,Entertainment,Yes,9.0,Low,Solar,D
Male,35,Yes,2.0,,Yes,1.0,Low,Not Interested,A
Female,35,No,2.0,Healthcare,Yes,9.0,Low,Solar,A
Female,39,Yes,2.0,Entertainment,Yes,0.0,Low,Solar,B
Male,28,Yes,1.0,Artist,,6.0,Low,Solar,A
Male,35,Yes,6.0,Entertainment,Yes,11.0,Low,Solar,A
Female,45,Yes,2.0,Engineer,Yes,0.0,Average,Solar,C
Female,73,,,Lawyer,Yes,4.0,High,Solar,C
Male,52,No,1.0,Entertainment,No,1.0,Low,Solar,A
Male,28,No,3.0,Healthcare,No,0.0,Low,Solar,D
Male,38,Yes,3.0,Healthcare,Yes,9.0,Low,Solar,A
Female,42,No,1.0,Entertainment,Yes,8.0,Low,Solar,A
Female,26,No,,Doctor,No,9.0,Low,Solar,D
Female,27,No,2.0,Healthcare,Yes,7.0,Low,Solar,D
Male,41,Yes,2.0,Artist,Yes,0.0,Low,Solar,C
Male,41,Yes,2.0,Artist,Yes,1.0,Low,Solar,B
Male,47,Yes,4.0,Executive,Yes,0.0,High,Solar,C
Male,35,No,1.0,Doctor,Yes,8.0,Low,Solar,A
Female,88,No,1.0,Lawyer,Yes,0.0,Low,Solar,A
Female,46,No,1.0,Artist,Yes,6.0,Low,Solar,C
Female,41,Yes,2.0,Artist,Yes,3.0,Low,Solar,C
Female,30,No,5.0,Doctor,Yes,10.0,Low,Solar,D
Male,43,Yes,2.0,Doctor,Yes,12.0,Low,Solar,A
Female,29,No,2.0,Entertainment,Yes,9.0,Low,Solar,D
Male,48,Yes,1.0,Artist,Yes,1.0,Low,Solar,A
Female,61,Yes,6.0,Artist,Yes,4.0,Average,Hydro,B
Female,51,No,1.0,Lawyer,Yes,2.0,Low,Solar,B
Female,38,No,1.0,Artist,Yes,2.0,Low,,A
Female,49,,1.0,Entertainment,Yes,0.0,High,Solar,B
Female,43,No,1.0,Healthcare,Yes,9.0,Low,Solar,A
Male,27,No,4.0,Healthcare,No,14.0,Low,Solar,D
Female,35,No,6.0,Doctor,No,14.0,Low,Not Interested,D
Female,39,Yes,2.0,Doctor,No,4.0,Average,Not Interested,B
Female,52,Yes,,Engineer,No,9.0,Low,Solar,A
Female,38,No,1.0,Engineer,Yes,10.0,Low,Solar,A
Female,30,No,2.0,Entertainment,Yes,12.0,Low,Solar,D
Female,43,No,1.0,Artist,Yes,10.0,Low,Solar,A
Female,42,No,4.0,Entertainment,No,10.0,Low,Solar,A
Female,46,No,1.0,Artist,Yes,2.0,Low,Not Interested,B
Female,47,No,2.0,Artist,Yes,11.0,Low,Solar,C
Female,32,No,5.0,Entertainment,No,13.0,Low,Not Interested,D
Female,53,Yes,2.0,Artist,Yes,11.0,Average,Solar,C
Female,43,Yes,,Artist,Yes,12.0,Average,Solar,A
Female,39,No,2.0,Artist,Yes,0.0,Low,Solar,A
Male,42,,2.0,Artist,Yes,3.0,Average,Solar,C
Female,37,No,1.0,Artist,Yes,3.0,Low,Wind,B
Male,19,No,4.0,Healthcare,No,0.0,Low,Solar,D
Male,30,No,1.0,Marketing,No,1.0,Low,Wind,D
Female,49,Yes,1.0,Artist,Yes,0.0,Low,Hydro,B
Male,55,Yes,3.0,Healthcare,Yes,0.0,Low,Hydro,B
Female,59,Yes,2.0,Doctor,Yes,1.0,Low,Hydro,C
Female,46,Yes,2.0,Artist,Yes,,Low,Solar,B
